Gate_ID,Supplier_Slot,Required_Party,Requirement,Required_Evidence,Disposition,Response_Value,Response_Reference,Responder,Response_Date,Blocking
HARNESS-SUPPLIER-IDENTITY,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Name the legal entity manufacturing site responsible process engineer quotation reference and controlled production line","Signed response cover sheet and site-specific quotation",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-ASSEMBLY-IDENTITY,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Assign the complete labeled harness set a supplier assembly MPN or drawing number and revision without treating provisional lengths as released","Controlled supplier drawing title block and revision/change record",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-QMS-CAPABILITY,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"State applicable QMS certifications ESD controls calibration system and experience with Molex Pico-Lock and Micro-Fit crimp assemblies","Current certificates capability statement and calibration procedure",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-WIRE-AVL,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Return exact wire manufacturer MPN construction strand count conductor material insulation outside diameter and color for every gauge/color combination in the controlled schedule","Wire AVL mapped to schedule rows plus manufacturer datasheets and certificates",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-TEMPERATURE-RATING,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"State the minimum and maximum operating temperature of the complete harness set and identify the limiting wire connector terminal label sleeve strain-relief or process material","Component ratings and supplier engineering disposition supporting one assembly-level temperature range",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-CONTACT-TRACEABILITY,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Confirm no-substitution use and lot traceability for Molex 5040510601 5040520098 430251200 430250200 430300038 and 430300001","Authorized-channel order records supplier packing records reel or bag labels and incoming-control plan",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-CRIMP-TOOLING,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Identify applicator or hand tool die locator press monitor and controlled instruction revision for each of 5040520098 430300038 and 430300001","Tooling list manufacturer instructions calibration status and maintenance record",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-CRIMP-PARAMETERS,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Return numeric strip length conductor crimp height insulation crimp acceptance and applicable tolerances for each approved wire/contact combination","Controlled setup sheet tied to exact wire and terminal MPNs",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-CRIMP-VALIDATION,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Define pull-force limits sampling frequency microsection criteria first-off approval and reaction plan for each approved wire/contact combination","Qualification report template pull-test limits microsection plan and nonconformance flow",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-LENGTH-CAPABILITY,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Confirm cut-length datum measurement method achievable tolerances and how final DIM-001 DIM-003 DIM-012 values will be loaded without building from TBD placeholders","Length-control work instruction and capability statement explicitly acknowledging final values remain open",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-LABEL-MATERIALS,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Propose exact label sleeve tie lacing and any protective material MPNs compatible with the claimed temperature range and unique end labels","Material datasheets marking sample and durability method",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-ROUTING-STRAIN-RELIEF,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"State minimum wire and bundle bend rules connector backshell or clamp approach service slack control and strain-relief verification while preserving the project routing rules","Annotated process drawing and retention or flex-test method",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-ELECTRICAL-TEST,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Define 100 percent continuity cross-short and polarity test limits fixture revision serial binding raw export format and failed-unit disposition","Tester capability report sample export fixture control and rework instruction",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-FIRST-ARTICLE,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Propose first-article quantity dimensional inspection crimp pull microsection electrical inspection and hold point before the remaining EVT lot","Controlled FAI plan and report template with objective acceptance criteria",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-TRACEABILITY-CHANGE,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Define traceability for wire terminal connector tooling operator tester and lot plus retention period and prior-notification rule for any material or process change","Traveler or lot record sample retention policy and change-notification procedure",PENDING_EXTERNAL_RESPONSE,,,,,YES
HARNESS-COMMERCIAL-QUOTE,HARNESS-CANDIDATE,SELECTED_HARNESS_SUPPLIER,"Quote tooling NRE first article and unit pricing for 5 11 and 22 complete sets with MOQ lead time validity shipping terms and explicit assumptions for still-open lengths","Attributable quotation separating non-recurring and recurring charges and stating no-build hold",PENDING_EXTERNAL_RESPONSE,,,,,YES
